County,NumberOfShootings,PercentageArmedShootings,PercentageShootingsOnBlack,PercentageShootingsOnHispanic,PercentageShootingsOnWhite,PercentageShootingsOnNative,PercentageShootingsOnAsian,PercentageDemogIsBlack,PercentageDemogIsWhite,PercentageDemogIsHispanic,PercentageDemogIsNative,PercentageDemogIsAsian
Wise County,1,100.00,0.00,0.00,100.00,0.00,0.00,5.40,92.00,1.20,0.20,0.40
Wolfe County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.30,97.80,0.70,0.30,0.10
Wood County,1,100.00,0.00,0.00,100.00,0.00,0.00,2.80,88.80,5.30,0.30,1.80
Wood County,1,100.00,0.00,0.00,100.00,0.00,0.00,5.00,83.30,9.60,1.00,0.60
Wood County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,93.10,2.70,0.90,2.00
Wood County,1,0.00,0.00,0.00,100.00,0.00,0.00,1.20,95.50,1.00,0.20,0.60
Woodbury County,1,0.00,0.00,0.00,100.00,0.00,0.00,2.80,75.70,15.20,2.60,2.70
Worcester County,6,100.00,0.00,20.00,80.00,0.00,0.00,5.30,78.80,10.50,0.40,4.70
Worth County,2,100.00,50.00,0.00,50.00,0.00,0.00,28.90,67.60,2.10,0.40,0.50
Wright County,1,100.00,0.00,0.00,100.00,0.00,0.00,0.70,95.30,1.70,0.60,0.30
Wyandotte County,6,100.00,33.33,33.33,33.33,0.00,0.00,24.80,42.50,27.30,1.30,3.70
Wythe County,2,100.00,100.00,0.00,0.00,0.00,0.00,2.90,94.10,1.10,0.20,0.60
Yadkin County,1,100.00,0.00,0.00,100.00,0.00,0.00,3.50,84.70,10.70,0.60,0.30
Yakima County,6,100.00,0.00,100.00,0.00,0.00,0.00,1.50,45.00,47.70,6.00,1.50
Yalobusha County,2,50.00,0.00,0.00,100.00,0.00,0.00,38.50,58.50,1.70,0.30,0.30
Yamhill County,2,0.00,50.00,0.00,50.00,0.00,0.00,1.10,77.90,15.70,2.00,1.80
Yancey County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.20,92.80,4.90,0.70,0.20
Yavapai County,9,88.89,0.00,0.00,100.00,0.00,0.00,0.90,80.90,14.20,2.10,1.00
Yellowstone County,12,100.00,0.00,0.00,75.00,25.00,0.00,0.80,87.10,5.20,4.50,0.80
Yolo County,3,100.00,50.00,0.00,50.00,0.00,0.00,3.00,48.30,31.50,1.80,13.80
York County,2,100.00,0.00,50.00,50.00,0.00,0.00,0.70,94.80,1.70,0.30,1.30
York County,1,100.00,0.00,0.00,100.00,0.00,0.00,1.60,91.30,4.90,0.70,0.60
York County,4,100.00,50.00,0.00,50.00,0.00,0.00,6.50,84.80,6.50,0.30,1.50
York County,1,100.00,0.00,0.00,100.00,0.00,0.00,19.50,71.60,5.00,0.90,1.80
York County,1,100.00,100.00,0.00,0.00,0.00,0.00,13.40,72.50,5.80,0.50,5.50
Yuba County,5,100.00,50.00,0.00,50.00,0.00,0.00,4.00,56.60,27.20,3.00,7.30
Yuma County,5,100.00,0.00,66.67,33.33,0.00,0.00,2.70,32.90,61.70,2.20,1.50
